start_date,end_date,start_time,end_time,Open,High,Low,Close,Volume,dollar
2015-02-12,2015-02-12,14:53:58.550,15:04:55.814,126.48,126.49,126.3,126.3263,794416,100426364.64100102
2015-02-12,2015-02-12,15:04:56.121,15:14:32.842,126.3212,126.56,126.22,126.3,788721,100045689.10540098
2015-02-12,2015-02-12,15:14:32.842,15:23:35.744,126.3,126.48,126.24,126.478,793038,100260690.71760091
2015-02-12,2015-02-12,15:23:36.276,15:33:13.685,126.475,126.52,126.37,126.39,789899,100145310.81560083
2015-02-12,2015-02-12,15:33:13.686,15:40:21.383,126.39,126.41,126.16,126.2801,790989,100012634.58390075
2015-02-12,2015-02-12,15:40:21.398,15:46:52.062,126.28,126.45,126.27,126.38,791349,100005424.60440059
2015-02-12,2015-02-12,15:46:52.123,15:51:00.305,126.38,126.55,126.33,126.54,790948,100006363.93790051
2015-02-12,2015-02-12,15:51:00.306,15:56:07.586,126.54,126.56,126.4,126.47,790632,100003108.70120041
2015-02-12,2015-02-12,15:56:07.671,15:59:07.251,126.47,126.49,126.41,126.463,791152,100037260.1409005
2015-02-12,2015-02-12,15:59:07.252,16:00:00.098,126.463,126.48,126.38,126.46,2254011,285066737.74620044
2015-02-12,2015-02-12,16:00:00.098,16:00:00.098,126.46,126.46,126.46,126.46,1795880,412173722.5462004
2015-02-12,2015-02-12,16:00:00.146,16:00:00.146,126.43,126.43,126.43,126.43,100,312186365.5462004
2015-02-12,2015-02-12,16:00:00.146,16:00:00.146,126.43,126.43,126.43,126.43,100,212199008.5462004
2015-02-12,2015-02-12,16:00:00.629,16:00:00.629,126.44,126.44,126.44,126.44,100,112211652.5462004
2015-02-12,2015-02-12,16:00:00.630,17:23:16.635,126.44,126.6146,124.5303,126.46,909334,127202352.3617004
2015-02-12,2015-02-13,17:23:19.519,6:38:31.863,126.271,127.3,124.88,127.3,575575,100018690.2588004
2015-02-13,2015-02-13,6:39:50.241,9:29:59.366,127.05,127.29,126.2,127.2,788563,100212893.81020041
2015-02-13,2015-02-13,9:29:59.367,9:30:00.327,127.2,127.31,127.13,127.27,955659,121837386.7102004
2015-02-13,2015-02-13,9:30:00.328,9:30:00.328,127.27,127.27,127.27,127.27,903824,136867067.1902004
2015-02-13,2015-02-13,9:30:00.333,9:30:47.010,127.25,127.31,126.92,126.97,496836,100002832.2195004
2015-02-13,2015-02-13,9:30:47.010,9:32:34.415,126.97,127.28,126.81,126.915,787993,100028388.08100027
2015-02-13,2015-02-13,9:32:34.418,9:34:01.129,126.915,127.28,126.5,126.66,789224,100001786.43900025
2015-02-13,2015-02-13,9:34:01.689,9:36:40.901,126.66,126.814,126.54,126.69,789334,100008252.15110014
2015-02-13,2015-02-13,9:36:40.903,9:39:49.330,126.69,127.27,126.61,126.82,791557,100334056.20900038
2015-02-13,2015-02-13,9:39:49.330,9:43:16.922,126.82,126.95,126.584,126.767,786303,100041518.42910054
2015-02-13,2015-02-13,9:43:17.032,9:45:36.521,126.78,126.82,126.28,126.33,790156,100002808.97240046
2015-02-13,2015-02-13,9:45:36.521,9:48:51.218,126.33,127.27,126.301,126.68,790671,100003071.16460054
2015-02-13,2015-02-13,9:48:51.218,9:53:09.312,126.68,126.82,126.45,126.73,789652,100028400.50860073
2015-02-13,2015-02-13,9:53:09.312,9:58:55.294,126.73,126.79,126.61,126.73,789173,100036349.26880078
2015-02-13,2015-02-13,9:58:55.477,10:03:43.846,126.73,127.27,126.48,126.49,789307,100003044.24390078
2015-02-13,2015-02-13,10:03:43.847,10:07:46.943,126.49,126.66,126.4,126.4,797228,100873829.57580073
2015-02-13,2015-02-13,10:07:46.943,10:10:39.896,126.4,126.5083,126.21,126.3,786732,100228139.09920071
2015-02-13,2015-02-13,10:10:39.990,10:16:28.170,126.3,126.5,126.28,126.48,789340,100000493.93640059
2015-02-13,2015-02-13,10:16:28.173,10:23:16.592,126.48,126.58,126.25,126.3,792170,100135082.3662006
2015-02-13,2015-02-13,10:23:17.117,10:27:37.030,126.3095,126.45,126.2,126.39,790550,100007559.63810068
2015-02-13,2015-02-13,10:27:37.030,10:32:09.765,126.39,126.4499,126.17,126.221,792104,100043184.31440093
2015-02-13,2015-02-13,10:32:09.793,10:37:38.206,126.22,126.32,126.16,126.23,832877,105182775.11410093
2015-02-13,2015-02-13,10:37:38.207,10:41:14.686,126.23,126.23,126.02,126.02,752907,100132135.29740103
2015-02-13,2015-02-13,10:41:14.686,10:42:40.486,126.02,126.03,125.75,125.765,793416,100013718.57190096
2015-02-13,2015-02-13,10:42:40.570,10:45:21.246,125.76,125.88,125.65,125.87,795004,100014925.76880099
2015-02-13,2015-02-13,10:45:21.316,10:49:51.887,125.86,125.95,125.73,125.78,794636,100005698.31250103
2015-02-13,2015-02-13,10:49:51.887,10:54:51.821,125.78,127.24,125.76,125.9,794327,100002508.40190081
2015-02-13,2015-02-13,10:54:51.821,11:00:20.881,125.9,126.13,125.86,126.13,794520,100108453.59480065
2015-02-13,2015-02-13,11:00:20.881,11:07:01.667,126.13,126.31,126.031,126.13,791626,100020774.7073007
2015-02-13,2015-02-13,11:07:01.728,11:16:30.477,126.1328,126.25,126.08,126.19,792409,100010861.61750083
2015-02-13,2015-02-13,11:16:30.477,11:26:22.938,126.19,126.21,126.0,126.07,792886,100003240.06250086
2015-02-13,2015-02-13,11:26:22.939,11:33:00.618,126.07,126.09,125.85,125.87,793972,100003520.67210102
2015-02-13,2015-02-13,11:33:00.618,11:43:46.728,125.87,126.08,125.81,126.08,793883,100000881.56570095
2015-02-13,2015-02-13,11:43:46.728,11:54:44.892,126.08,126.28,126.07,126.2,793433,100120495.81320108
2015-02-13,2015-02-13,11:54:44.892,12:07:58.525,126.2,126.29,126.06,126.1801,791666,100028278.68870103
